-0.695365	-0.611965	0.330554	0.971857	1.6934	2.55793	3.48097	4.43201	4.34888	3.3533	2.36047	1.37401	0.408841	-0.383527	0.0506662	0.0937108
-0.493169	0.10415	0.653348	1.40945	2.02372	2.81141	3.6833	4.59924	4.47865	3.51268	2.56627	1.66145	0.864772	0.400142	0.607232	-0.257348
-0.374148	0.552054	1.41108	2.05843	2.61975	3.29612	4.08335	4.86826	4.78517	3.88197	3.0264	2.25784	1.65707	1.36412	1.03657	0.483005
-0.361356	0.567394	1.55362	2.54787	3.09398	3.2487	3.62622	4.17675	4.85052	4.41733	3.66403	3.02356	2.55982	2.35017	1.79279	1.42947
0.322837	0.743427	1.45863	2.08192	2.33228	2.52196	2.97165	3.60355	4.35187	5.07403	4.41524	3.87731	3.50511	3.17361	2.67215	2.40791
-0.440239	0.299409	1.02925	1.58974	1.73718	1.96699	2.49184	3.19902	4.00982	4.86286	5.23825	4.77929	4.47037	4.00922	3.60254	3.39638
-0.48889	0.502373	0.978388	1.32902	1.44139	1.69786	2.26811	3.01626	3.73507	4.5189	5.36493	5.70969	5.38037	4.89743	4.55776	4.38921
-0.330794	0.205115	0.601841	0.730901	0.985446	1.50412	2.14627	2.74277	3.47572	4.29906	5.17595	6.08616	5.60503	5.14018	4.81504	4.65435
-0.695959	-0.659973	-0.142933	0.243841	0.679655	1.39858	2.11336	2.69825	3.43879	4.26806	5.14947	5.43412	4.78126	4.242	3.8554	3.66077
-0.560415	-0.710248	-0.666837	-0.244729	0.532947	1.3011	2.20574	2.9267	3.62976	4.42921	5.28758	4.76507	4.02368	3.38947	2.91673	2.67082
-0.467144	-0.518695	-0.366958	0.316184	1.0115	1.63686	2.45116	3.34622	4.022	4.76604	5.0944	4.20612	3.36796	2.61631	2.01957	1.6887
-0.655292	-0.63708	-0.394557	0.53093	1.51739	2.26964	2.95127	3.75036	4.57213	5.2496	4.75038	3.79702	2.86814	1.98775	1.2182	0.72897
-0.470612	-0.364192	0.0919631	0.586987	1.34856	2.24806	3.19484	4.16227	5.10208	5.56526	4.57101	3.57935	2.5925	1.61619	0.670655	-0.116768
-0.557442	-0.508385	-0.299523	0.408672	1.23588	2.16896	3.13451	4.11367	5.09976	5.56661	4.57261	3.58131	2.59501	1.61969	0.676298	-0.105261
-0.574686	-0.549763	-0.537713	0.357073	1.34399	2.33902	3.31941	4.2634	5.22529	5.72155	4.75502	3.80261	2.87512	1.99686	1.23067	0.745228
-0.722257	-0.502415	-0.464248	0.466964	1.45026	2.41321	3.39327	4.38085	5.3724	6.01972	5.10168	4.21467	3.37821	2.62876	2.03458	1.70565
